불입금액(원),불입기간(년),예상수익률(%),세액공제(원),예상연금액(원)
3000000,10,3.0,360000,289818
3000000,10,3.5,360000,296921
3000000,10,4.0,360000,304163
3000000,10,4.5,360000,311545
3000000,10,5.0,360000,319070
3000000,15,3.0,360000,312046
3000000,15,3.5,360000,323588
3000000,15,4.0,360000,335498
3000000,15,4.5,360000,347786
3000000,15,5.0,360000,360462
3000000,20,3.0,360000,335979
3000000,20,3.5,360000,352649
3000000,20,4.0,360000,370061
3000000,20,4.5,360000,388242
3000000,20,5.0,360000,407223
3000000,25,3.0,360000,361747
3000000,25,3.5,360000,384321
3000000,25,4.0,360000,408184
3000000,25,4.5,360000,433404
3000000,25,5.0,360000,460051
3000000,30,3.0,360000,389491
3000000,30,3.5,360000,418837
3000000,30,4.0,360000,450235
3000000,30,4.5,360000,483820
3000000,30,5.0,360000,519732
4000000,10,3.0,480000,386424
4000000,10,3.5,480000,395895
4000000,10,4.0,480000,405550
4000000,10,4.5,480000,415393
4000000,10,5.0,480000,425427
4000000,15,3.0,480000,416061
4000000,15,3.5,480000,431450
4000000,15,4.0,480000,447330
4000000,15,4.5,480000,463714
4000000,15,5.0,480000,480616
4000000,20,3.0,480000,447972
4000000,20,3.5,480000,470199
4000000,20,4.0,480000,493414
4000000,20,4.5,480000,517656
4000000,20,5.0,480000,542964
4000000,25,3.0,480000,482329
4000000,25,3.5,480000,512428
4000000,25,4.0,480000,544246
4000000,25,4.5,480000,577872
4000000,25,5.0,480000,613401
4000000,30,3.0,480000,519322
4000000,30,3.5,480000,558449
4000000,30,4.0,480000,600314
4000000,30,4.5,480000,645094
4000000,30,5.0,480000,692976
5000000,10,3.0,600000,483030
5000000,10,3.5,600000,494869
5000000,10,4.0,600000,506938
5000000,10,4.5,600000,519242
5000000,10,5.0,600000,531783
5000000,15,3.0,600000,520077
5000000,15,3.5,600000,539313
5000000,15,4.0,600000,559163
5000000,15,4.5,600000,579643
5000000,15,5.0,600000,600770
5000000,20,3.0,600000,559965
5000000,20,3.5,600000,587749
5000000,20,4.0,600000,616768
5000000,20,4.5,600000,647070
5000000,20,5.0,600000,678706
5000000,25,3.0,600000,602912
5000000,25,3.5,600000,640535
5000000,25,4.0,600000,680307
5000000,25,4.5,600000,722341
5000000,25,5.0,600000,766752
5000000,30,3.0,600000,649153
5000000,30,3.5,600000,698062
5000000,30,4.0,600000,750393
5000000,30,4.5,600000,806367
5000000,30,5.0,600000,866220
6000000,10,3.0,720000,579637
6000000,10,3.5,720000,593843
6000000,10,4.0,720000,608326
6000000,10,4.5,720000,623090
6000000,10,5.0,720000,638140
6000000,15,3.0,720000,624092
6000000,15,3.5,720000,647176
6000000,15,4.0,720000,670996
6000000,15,4.5,720000,695572
6000000,15,5.0,720000,720924
6000000,20,3.0,720000,671958
6000000,20,3.5,720000,705299
6000000,20,4.0,720000,740122
6000000,20,4.5,720000,776484
6000000,20,5.0,720000,814447
6000000,25,3.0,720000,723494
6000000,25,3.5,720000,768642
6000000,25,4.0,720000,816369
6000000,25,4.5,720000,866809
6000000,25,5.0,720000,920102
6000000,30,3.0,720000,778983
6000000,30,3.5,720000,837674
6000000,30,4.0,720000,900471
6000000,30,4.5,720000,967641
6000000,30,5.0,720000,1039464
